degree_name,field,program_description,duration,admission_requirements,institution_name,university,specialty,specialty_code,location,contact_info,bac_type,formula,formula_explanation,historical_scores_2022,historical_scores_2023,historical_scores_2024,minimum_bac_average,additional_requirements,notes,data_source
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للدراسات التطبيقية في الانسانيات بقفصة,جامعة قفصة,اللغة والآداب والحضارة,60102,,,إقتصاد وتصرف,FG+Ang,,91.9434,84.8,82.025,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للدراسات التطبيقية في الانسانيات بقفصة,جامعة قفصة,اللغة والآداب والحضارة,60102,,,العلوم التقنية,FG+Ang,,108.9,121.865,,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للدراسات التطبيقية في الانسانيات بقفصة,جامعة قفصة,اللغة والآداب والحضارة,60102,,,علوم الإعلامية,FG+Ang,,,,,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للدراسات التطبيقية في الانسانيات بقفصة,جامعة قفصة,اللغة والآداب والحضارة,60102,,,رياضة,FG+Ang,,114.0941,,165.353,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية الآداب والعلوم الإنسانية بالقيروان,جامعة القيروان,اللغة والآداب والحضارة,70102,,,آداب,FG+Ang,,76.9119,70.9115,71.78,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية الآداب والعلوم الإنسانية بالقيروان,جامعة القيروان,اللغة والآداب والحضارة,70102,,,رياضيات,FG+Ang,,94.3401,110.0552,,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية الآداب والعلوم الإنسانية بالقيروان,جامعة القيروان,اللغة والآداب والحضارة,70102,,,علوم تجريبية,FG+Ang,,105.9798,135.7616,120.348,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية الآداب والعلوم الإنسانية بالقيروان,جامعة القيروان,اللغة والآداب والحضارة,70102,,,إقتصاد وتصرف,FG+Ang,,79.8965,79.096,75.608,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية الآداب والعلوم الإنسانية بالقيروان,جامعة القيروان,اللغة والآداب والحضارة,70102,,,العلوم التقنية,FG+Ang,,114.5201,122.2636,106.292,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية الآداب والعلوم الإنسانية بالقيروان,جامعة القيروان,اللغة والآداب والحضارة,70102,,,علوم الإعلامية,FG+Ang,,,,88.962,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية الآداب والعلوم الإنسانية بالقيروان,جامعة القيروان,اللغة والآداب والحضارة,70102,,,رياضة,FG+Ang,,82.82,107.7383,148.222,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للعلوم الإنسانية بمدنين,جامعة قابس,اللغة والآداب والحضارة,54102,,,آداب,FG+Ang,,75.8499,73.0135,77.864,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للعلوم الإنسانية بمدنين,جامعة قابس,اللغة والآداب والحضارة,54102,,,رياضيات,FG+Ang,,108.4385,,,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للعلوم الإنسانية بمدنين,جامعة قابس,اللغة والآداب والحضارة,54102,,,علوم تجريبية,FG+Ang,,119.3746,116.7049,129.315,,,,
