ramz_code,ramz_id,ramz_link,bac_type_id,bac_type_name,university_id,university_name,table_specialization,table_institution,table_location,table_criteria,field_of_study,seven_percent,specialty,specialty_code,minimum_bac_average,program_description,duration,admission_requirements,formula_explanation,additional_requirements,notes,contact_info,historical_scores_2011,historical_scores_2012,historical_scores_2013,historical_scores_2014,historical_scores_2015,historical_scores_2016,historical_scores_2017,historical_scores_2018,historical_scores_2019,historical_scores_2020,historical_scores_2021,historical_scores_2022,historical_scores_2023,historical_scores_2024
13102,613102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=613102,6,علوم الإعلامية,04,جامعة قرطاج,الإجازة في اللغة والآداب والحضارة,المعهد العالي للغات بتونس,,FG+Ang,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,13102,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.3174,152.047,122.413
13102,713102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=713102,7,رياضة,04,جامعة قرطاج,الإجازة في اللغة والآداب والحضارة,المعهد العالي للغات بتونس,,FG+Ang,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,13102,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.7118,180.3164,139.277
22101,122101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=122101,1,آداب,04,جامعة قرطاج,الإجازة في اللغة والآداب والحضارة,المعهد العالي للغات بنابل,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,22101,99.937,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.7445,98.7931,99.937
22101,222101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=222101,2,رياضيات,04,جامعة قرطاج,الإجازة في اللغة والآداب والحضارة,المعهد العالي للغات بنابل,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,22101,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22101,322101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=322101,3,علوم تجريبية,04,جامعة قرطاج,الإجازة في اللغة والآداب والحضارة,المعهد العالي للغات بنابل,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,22101,109.603,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.1347,116.507,109.603
22101,422101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=422101,4,إقتصاد وتصرف,04,جامعة قرطاج,الإجازة في اللغة والآداب والحضارة,المعهد العالي للغات بنابل,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,22101,88.445,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2916,84.6582,88.445
22101,622101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=622101,6,علوم الإعلامية,04,جامعة قرطاج,الإجازة في اللغة والآداب والحضارة,المعهد العالي للغات بنابل,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,22101,107.029,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.3431,107.2432,107.029
30101,130101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=130101,1,آداب,05,جامعة سوسة,الإجازة في اللغة والآداب والحضارة,كلية الآداب والعلوم الإنسانية بسوسة,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,30101,100.238,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.554,99.4298,100.238
30101,230101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=230101,2,رياضيات,05,جامعة سوسة,الإجازة في اللغة والآداب والحضارة,كلية الآداب والعلوم الإنسانية بسوسة,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,30101,100.3267,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.3267,108.289
30101,330101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=330101,3,علوم تجريبية,05,جامعة سوسة,الإجازة في اللغة والآداب والحضارة,كلية الآداب والعلوم الإنسانية بسوسة,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,30101,101.944,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.6049,121.7446,101.944
