degree_name,field,institution_name,university,specialty,specialty_code,bac_type,formula,min_score_2024,min_score_2023,min_score_2022
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للدراسات التطبيقية في الانسانيات بقفصة,جامعة قفصة,اللغة والآداب والحضارة,60101,علوم الإعلامية,FG+A,80.677,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للعلوم الإنسانية بتونس,جامعة تونس المنار,الأنقليزية والعلاقات الدولية,12102,آداب,FG+Ang,130.895,128.3091,128.705
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للعلوم الإنسانية بتونس,جامعة تونس المنار,الأنقليزية والعلاقات الدولية,12102,رياضيات,FG+Ang,150.785,136.2913,137.905
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للعلوم الإنسانية بتونس,جامعة تونس المنار,الأنقليزية والعلاقات الدولية,12102,علوم تجريبية,FG+Ang,148.409,159.3872,140.8655
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للعلوم الإنسانية بتونس,جامعة تونس المنار,الأنقليزية والعلاقات الدولية,12102,إقتصاد وتصرف,FG+Ang,119.321,115.1072,127.8025
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للعلوم الإنسانية بتونس,جامعة تونس المنار,الأنقليزية والعلاقات الدولية,12102,العلوم التقنية,FG+Ang,124.24,120.785,128.425
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للعلوم الإنسانية بتونس,جامعة تونس المنار,الأنقليزية والعلاقات الدولية,12102,علوم الإعلامية,FG+Ang,120.992,138.0996,125.0054
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للعلوم الإنسانية بتونس,جامعة تونس المنار,الأنقليزية والعلاقات الدولية,12102,رياضة,FG+Ang,166.904,177.8501,103.5439
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والعلوم الإنسانية بسوسة,جامعة سوسة,اللغة والآداب والحضارة,30102,آداب,FG+Ang,113.516,107.905,106.53
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والعلوم الإنسانية بسوسة,جامعة سوسة,اللغة والآداب والحضارة,30102,رياضيات,FG+Ang,117.852,124.74,124.2966
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والعلوم الإنسانية بسوسة,جامعة سوسة,اللغة والآداب والحضارة,30102,علوم تجريبية,FG+Ang,144.792,151.2124,130.84
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والعلوم الإنسانية بسوسة,جامعة سوسة,اللغة والآداب والحضارة,30102,اقتصاد وتصرف,FG+Ang,91.43,67.9636,103.4421
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والعلوم الإنسانية بسوسة,جامعة سوسة,اللغة والآداب والحضارة,30102,العلوم التقنية,FG+Ang,129.652,144.006,133.585
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والعلوم الإنسانية بسوسة,جامعة سوسة,اللغة والآداب والحضارة,30102,علوم الإعلامية,FG+Ang,126.615,128.935,128.99
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والعلوم الإنسانية بسوسة,جامعة سوسة,اللغة والآداب والحضارة,30102,رياضة,FG+Ang,144.284,179.8724,93.085
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بالمكنين,جامعة المنستير,اللغة والآداب والحضارة,34102,آداب,FG+Ang,106.42,101.64,100.3966
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بالمكنين,جامعة المنستير,اللغة والآداب والحضارة,34102,رياضيات,FG+Ang,,141.3898,132.9743
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بالمكنين,جامعة المنستير,اللغة والآداب والحضارة,34102,علوم تجريبية,FG+Ang,123.59,146.3225,118.4865
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بالمكنين,جامعة المنستير,اللغة والآداب والحضارة,34102,إقتصاد وتصرف,FG+Ang,87.683,83.6501,93.3448
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بالمكنين,جامعة المنستير,اللغة والآداب والحضارة,34102,العلوم التقنية,FG+Ang,130.342,114.0888,130.3956
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بالمكنين,جامعة المنستير,اللغة والآداب والحضارة,34102,علوم الإعلامية,FG+Ang,114.233,128.2235,105.1032
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للغات بالمكنين,جامعة المنستير,اللغة والآداب والحضارة,34102,رياضة,FG+Ang,164.801,138.78,109.4
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للعلوم الإنسانية بجندوبة,جامعة جندوبة,اللغة والآداب والحضارة,80102,آداب,FG+Ang,85.165,77.0099,76.8567
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للعلوم الإنسانية بجندوبة,جامعة جندوبة,اللغة والآداب والحضارة,80102,رياضيات,FG+Ang,114.422,122.9588,122.8039
