ramz_code,ramz_id,ramz_link,bac_type_id,bac_type_name,university_id,university_name,table_specialization,table_university,table_institution,table_location,table_criteria,institution,field_of_study,historical_scores,seven_percent
22103,922103,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=922103,9,رياضة,4,جامعة  قرطاج,الإجازة في الفرنسية,جامعة قرطاج,المعهد العالي للغات بنابل,نابل,FG+F,"العنوان :
الهاتف :",الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 0.0, '2020': 0.0, '2021': 0.0, '2022': 83.4482, '2023': 97.67, '2024': 83.2702}",yes
22105,922105,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=922105,9,رياضة,4,جامعة  قرطاج,الإجازة في الإيطالية,جامعة قرطاج,المعهد العالي للغات بنابل,نابل,FG+IT,"العنوان :
الهاتف :",الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 0.0, '2020': 0.0, '2021': 0.0, '2022': 0.0, '2023': 0.0, '2024': 0.0}",yes
20318,420318,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=420318,4,إقتصاد وتصرف,4,جامعة  قرطاج,الإجازة في علوم التصرف,جامعة قرطاج,المعهد العالي للتصرف ببنزرت,بنزرت,FG+(M+GEST)/2,"العنوان :
الهاتف :",العلوم الإقتصادية وعلوم التصرف : العلوم الإقتصادية وعلوم التصرف,"{'2011': 101.43, '2012': 97.405, '2013': 90.53, '2014': 97.85, '2015': 95.25, '2016': 96.925, '2017': 94.285, '2018': 98.025, '2019': 114.285, '2020': 113.6019, '2021': 130.76, '2022': 124.8904, '2023': 119.59, '2024': 131.63}",yes
20523,220523,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=220523,2,رياضيات,4,جامعة  قرطاج,الإجازة في علوم الإعلامية,جامعة قرطاج,كلية العلوم ببنزرت,بنزرت,FG+(M+Info)/2,"العنوان :
الهاتف :",العلوم الصحيحة والتكنولوجيا : العلوم الصحيحة والتكنولوجيا,"{'2011': 114.6505, '2012': 110.45, '2013': 111.675, '2014': 103.725, '2015': 112.625, '2016': 111.925, '2017': 108.25, '2018': 110.0, '2019': 121.8356, '2020': 116.955, '2021': 146.2, '2022': 150.0, '2023': 153.765, '2024': 152.91}",yes
11104,511104,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=511104,5,العلوم التقنية,3,جامعة تونس المنار,الإجازة في الإسبانية,جامعة تونس المنار,المعهد العالي للعلوم الإنسانية بتونس,تونس,FG+ESP,"العنوان :
الهاتف :",الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 111.4031, '2020': 124.335, '2021': 145.5735, '2022': 135.515, '2023': 129.0634, '2024': 104.7156}",yes
10377,510377,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=510377,5,العلوم التقنية,1,جامعة تونس,البكالوريوس في إدارة الأعمال,جامعة تونس,المعهد العالي للأعمال بتونس,تونس,"FG+Max((Ang-15),0)+Max((M-12),0)","العنوان :
الهاتف :",العلوم الإقتصادية وعلوم التصرف : العلوم الإقتصادية وعلوم التصرف,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 0.0, '2020': 0.0, '2021': 0.0, '2022': 0.0, '2023': 162.57, '2024': 164.795}",no
10123,210123,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=210123,2,رياضيات,1,جامعة تونس,الإجازة في التاريخ,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,FG+F,"العنوان :
الهاتف :",العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 0.0, '2020': 0.0, '2021': 102.829, '2022': 0.0, '2023': 0.0, '2024': 0.0}",yes
24477,324477,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=324477,3,علوم تجريبية,1,جامعة تونس,الإجازة في التربية والتعليم,جامعة تونس,المعهد العالي للدراسات التطبيقية في الإنسانيات بزغوان,زغوان,FG+(AR+FR)/2,"العنوان :
الهاتف :",العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 0.0, '2020': 122.27, '2021': 135.575, '2022': 128.22, '2023': 130.02, '2024': 138.13}",no
10120,310120,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=310120,3,علوم تجريبية,1,جامعة تونس,الإجازة في عـلــم الاجتماع,جامعة تونس,كلية العلوم الإنسانية والإجتماعية بتونس,تونس,FG+PH,"العنوان :
الهاتف :",العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 124.548, '2020': 117.2881, '2021': 129.2346, '2022': 129.7108, '2023': 121.665, '2024': 117.2453}",yes
10452,510452,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=510452,5,العلوم التقنية,4,جامعة  قرطاج,الاجازة في السياحة,جامعة قرطاج,المعهد العالي للدراسات السياحية والفندقية بسيدي الظريف,تونس,FG+(F+ANG)/2,"العنوان :
الهاتف :",السياحة والتنشيط والرياضة والتربية البدنية : السياحة والتنشيط والرياضة والتربية البدنية,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 120.64, '2020': 121.765, '2021': 143.075, '2022': 92.6932, '2023': 149.415, '2024': 100.23}",no
22208,222208,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=222208,2,رياضيات,4,جامعة  قرطاج,الاجازة في تصميم المنتوج,جامعة قرطاج,المعهد العالى للفنون الجميلة بنابل,نابل,FG+PH,"العنوان :
الهاتف :",الثقافة والفنون الجميلة والفنون والحرف : الثقافة والفنون الجميلة والفنون والحرف,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 0.0, '2020': 117.625, '2021': 133.43, '2022': 120.03, '2023': 118.9519, '2024': 105.785}",yes
